name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Antonio Puerta Pérez,Left Back,143,22.0,29.0,2.0,0.023033339,2.0,13.0,2.0,13.85,18.25,1.26,0.01,1.26,8.18,1.26
Antonio Ramiro Pérez,Center Attacking Midfield,93,6.0,7.0,0.0,0.0,1.0,6.0,0.0,5.81,6.77,0.0,0.0,0.97,5.81,0.0
Antonio Rodríguez Dovale,Left Back,184,36.0,47.0,0.0,0.0,7.0,10.0,0.0,17.61,22.99,0.0,0.0,3.42,4.89,0.0
Antonio Rodríguez Martínez,Goalkeeper,1815,433.0,689.0,0.0,0.0,130.0,3.0,0.0,21.47,34.17,0.0,0.0,6.45,0.15,0.0
Antonio Rukavina,Right Back,1919,567.0,735.0,2.0,0.052419115,51.0,161.0,5.0,26.59,34.47,0.09,0.0,2.39,7.55,0.23
Antonio Tomás González,Right Defensive Midfield,594,114.0,145.0,1.0,0.017405936,27.0,130.0,3.0,17.27,21.97,0.15,0.0,4.09,19.7,0.45
Antonio Álvarez Pérez,Right Center Midfield,92,20.0,27.0,1.0,0.04177448,8.0,13.0,3.0,19.57,26.41,0.98,0.04,7.83,12.72,2.93
António Alberto Bastos Pimparel,Goalkeeper,723,176.0,252.0,0.0,0.0,35.0,3.0,0.0,21.91,31.37,0.0,0.0,4.36,0.37,0.0
Anuar Mohamed Tuhami,Right Defensive Midfield,238,90.0,105.0,0.0,0.0,13.0,64.0,2.0,34.03,39.71,0.0,0.0,4.92,24.2,0.76
Aníbal Samuel Matellán,Left Center Back,182,45.0,59.0,0.0,0.0,7.0,16.0,1.0,22.25,29.18,0.0,0.0,3.46,7.91,0.49
Aquivaldo Mosquera Romaña,Right Back,91,20.0,31.0,0.0,0.0,2.0,11.0,0.0,19.78,30.66,0.0,0.0,1.98,10.88,0.0
Aras Özbiliz,Center Attacking Midfield,226,20.0,35.0,1.0,0.0523714,2.0,23.0,1.0,7.96,13.94,0.4,0.02,0.8,9.16,0.4
Arda Turan,Left Center Midfield,3299,1220.0,1407.0,22.0,3.567311633,161.0,518.0,52.0,33.28,38.38,0.6,0.1,4.39,14.13,1.42
Aridane Hernández Umpiérrez,Right Center Back,183,42.0,50.0,0.0,0.0,3.0,8.0,0.0,20.66,24.59,0.0,0.0,1.48,3.93,0.0
Ariel Gerardo Nahuelpán Osten,Center Forward,181,8.0,10.0,1.0,0.069846906,1.0,24.0,3.0,3.98,4.97,0.5,0.03,0.5,11.93,1.49
Ariel Miguel Santiago Ibagaza,Center Attacking Midfield,473,146.0,218.0,3.0,0.094909564,24.0,69.0,5.0,27.78,41.48,0.57,0.02,4.57,13.13,0.95
Aritz Aduriz Zubeldia,Center Forward,4398,622.0,996.0,130.0,22.3693080155,114.0,514.0,43.0,12.73,20.38,2.66,0.46,2.33,10.52,0.88
Aritz Elustondo Irribaria,Right Back,2927,1184.0,1573.0,17.0,1.6956987449999998,125.0,432.0,21.0,36.41,48.37,0.52,0.05,3.84,13.28,0.65
Arjen Robben,Right Midfield,139,42.0,56.0,6.0,0.392093217,5.0,16.0,7.0,27.19,36.26,3.88,0.25,3.24,10.36,4.53
Armando Miguel Correia de Sa,Right Back,92,18.0,34.0,0.0,0.0,7.0,13.0,1.0,17.61,33.26,0.0,0.0,6.85,12.72,0.98
Armando Riveiro de Aguilar Malda,Goalkeeper,90,10.0,32.0,0.0,0.0,8.0,0.0,0.0,10.0,32.0,0.0,0.0,8.0,0.0,0.0
Armindo Tué Na Bangna,Left Wing,2695,513.0,679.0,48.0,3.518182542,97.0,282.0,63.0,17.13,22.68,1.6,0.12,3.24,9.42,2.1
Arnaldo Antonio Sanabria Ayala,Center Forward,2571,483.0,665.0,54.0,11.5589793634,90.0,435.0,29.0,16.91,23.28,1.89,0.4,3.15,15.23,1.02
Arouna Koné,Center Forward,272,51.0,74.0,4.0,0.39522488200000006,13.0,61.0,7.0,16.88,24.49,1.32,0.13,4.3,20.18,2.32
Arthur Etienne Boka,Left Back,1294,506.0,667.0,8.0,0.594648101,72.0,117.0,13.0,35.19,46.39,0.56,0.04,5.01,8.14,0.9
Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,3133,1883.0,2044.0,9.0,1.418330653,111.0,419.0,29.0,54.09,58.72,0.26,0.04,3.19,12.04,0.83
Arturo Erasmo Vidal Pardo,Right Center Midfield,4984,2314.0,2577.0,45.0,6.267353583,131.0,1094.0,16.0,41.79,46.53,0.81,0.11,2.37,19.76,0.29
Arturo García Muñoz,Right Center Midfield,270,60.0,74.0,2.0,0.216950331,7.0,21.0,3.0,20.0,24.67,0.67,0.07,2.33,7.0,1.0
Asier Illarramendi Andonegi,Right Defensive Midfield,3842,1810.0,2275.0,27.0,1.661727608,249.0,967.0,32.0,42.4,53.29,0.63,0.04,5.83,22.65,0.75
Asier Riesgo Unamuno,Goalkeeper,3392,557.0,1165.0,0.0,0.0,229.0,4.0,0.0,14.78,30.91,0.0,0.0,6.08,0.11,0.0
Asier Villalibre Molina,Center Forward,188,3.0,3.0,0.0,0.0,0.0,5.0,2.0,1.44,1.44,0.0,0.0,0.0,2.39,0.96
Asier del Horno Cosgaya,Left Back,165,36.0,49.0,2.0,0.15208588,7.0,26.0,2.0,19.64,26.73,1.09,0.08,3.82,14.18,1.09
